route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,route_variant
04250625-92,20250425,20250425-92-92050,92 - Yorkdale Term,,1,MDDS9111,389496,1,1,92
04250625-41,20250425,20250425-41-41270,41 - Pickering GO,,0,MDDS9110,388869,1,1,41
04250625-41,20250425,20250425-41-41061,41 - Hamilton GO,,1,MDDS9110,388871,1,1,41
04250625-94,20250425,20250425-94-94371,94 - Pickering GO,,0,MDDS9109,389499,1,1,94
04250625-94,20250425,20250425-94-94290,94 - Square One,,1,MDDS9109,389500,1,1,94
04250625-94,20250425,20250425-94-94151,94 - Pickering GO,,0,MDDS9109,389499,1,1,94
04250625-94,20250425,20250425-94-94040,94 - Square One,,1,MDDS9109,389500,1,1,94
04250625-56,20250425,20250425-56-56221,56 - DC Oshawa GO,,0,MDDS9108,388896,1,1,56
04250625-56,20250425,20250425-56-56030,56 - Oakville GO,,1,MDDS9108,388893,1,1,56
04250625-56,20250425,20250425-56-56201,56 - DC Oshawa GO,,0,MDDS9107,388896,1,1,56
04250625-56,20250425,20250425-56-56010,56 - Oakville GO,,1,MDDS9107,388893,1,1,56
04250625-41,20250425,20250425-41-41042,41A - Pickering GO,,0,MDDS9106,388872,1,1,41A
04250625-92,20250425,20250425-92-92030,92 - Yorkdale Term,,1,MDDS9106,389496,1,1,92
04250625-41,20250425,20250425-41-41032,41A - Pickering GO,,0,MDDS9105,388872,1,1,41A
04250625-94,20250425,20250425-94-94020,94 - Square One,,1,MDDS9105,389500,1,1,94
04250625-56,20250425,20250425-56-56471,56 - DC Oshawa GO,,0,MDDS9104,388896,1,1,56
04250625-56,20250425,20250425-56-56310,56 - Oakville GO,,1,MDDS9104,388893,1,1,56
04250625-96,20250425,20250425-96-96241,96B - DC Oshawa GO,,0,MDDS9104,389501,1,1,96B
04250625-96,20250425,20250425-96-96130,96B - Finch Terminal,,1,MDDS9104,389502,1,1,96B
04250625-90,20250425,20250425-90-90052,90B - DC Oshawa GO,,0,MDDS9104,389493,1,1,90B
04250625-90,20250425,20250425-90-90001,90B - Union Station,,1,MDDS9104,389494,1,1,90B
04250625-92,20250425,20250425-92-92351,92 - DC Oshawa GO,,0,MDDS9103,389495,1,1,92
04250625-92,20250425,20250425-92-92250,92 - Yorkdale Term,,1,MDDS9103,389496,1,1,92
04250625-56,20250425,20250425-56-56073,56A - DC Oshawa GO,,0,MDDS9103,388897,1,1,56A
04250625-92,20250425,20250425-92-92010,92 - Yorkdale Term,,1,MDDS9103,389496,1,1,92
04250625-56,20250425,20250425-56-56171,56 - DC Oshawa GO,,0,MDDS9102,388896,1,1,56
04250625-56,20250425,20250425-56-56000,56 - Oakville GO,,1,MDDS9102,388893,1,1,56
04250625-56,20250425,20250425-56-56093,56A - DC Oshawa GO,,0,MDDS9101,388897,1,1,56A
04250625-71,20250425,20250425-71-71050,71 - Union Station,,1,MDDS9101,388940,1,1,71
04250625-40,20250425,20250425-40-40590,40 - Richmond Hill Ctr,,0,MDDS6108,388864,1,1,40
04250625-41,20250425,20250425-41-41371,41 - Hamilton GO,,1,MDDS6108,388871,1,1,41
04250625-65,20250425,20250425-65-65141,65 - East Gwillimbury GO,,0,MDDS6107,388901,1,1,65
04250625-65,20250425,20250425-65-65062,65A - Union Station,,1,MDDS6107,388906,1,1,65A
04250625-68,20250425,20250425-68-68930,68B - East Gwillimbury GO,,1,MDDS6106,388924,1,1,68B
04250625-68,20250425,20250425-68-68713,68 - Barrie Terminal,,0,MDDS6106,388926,1,1,68
04250625-65,20250425,20250425-65-65620,65 - Union Station,,1,MDDS6106,388903,1,1,65
